NumberOfTrips,PRCP,SNWD,SNOW,Temp,Holiday,Weekday
3,0.06,0,0,38.5,0,1
1,0.05,0,0,41.5,0,1
3,0,5.9,0,18.5,0,0
3,0,0,0,71,0,0
3,0,0,0,73,0,1
4,0,0,0,74,0,1
4,0,0,0,60.5,0,1
1,0,0,0,69.5,0,1
2,0.36,7.9,4.3,25,0,1
3,0,0,0,78.5,0,1
1,0,5.9,0,28.5,0,0
3,0,0,0,70.5,0,0
4,0.13,0,0,62.5,0,1
3,0.19,0,0,57.5,0,1
4,0,0,0,79.5,0,1
1,0.27,0,0,42.5,0,1
1,0,0,0,37.5,0,0
1,1.17,1.2,8,35,0,1
1,0,0,0,46.5,0,1
1,0,7.9,0,19.5,0,1
3,0,0,0,60,0,1
4,0.02,0,0,73.5,0,0
1,0,0,0,55.5,0,1
1,0,0,0,64,0,1
3,0,0,0,74,0,1
1,1.37,0,0,51.5,0,1
2,0.11,0,0,77.5,0,1
2,0,2,0,37,0,1
3,0,0,0,79,0,1
4,0.92,0,0,39,0,1
3,0,0,0,56,0,1
1,0.03,15,0,44,0,1
2,0.14,0,0,51.5,0,1
2,0.07,0,0,77.5,0,1
3,0.02,0,0,48,0,1
2,0,0,0,76.5,0,1
4,0,7.9,0,33.5,0,1
4,0,0,0,75.5,0,0
1,0,0,0,39,0,1
3,0.06,0,0,72,0,1
3,0,0,0,48.5,0,0
1,0,5.1,0,21,0,1
3,0.06,0,0,43.5,0,1
4,0,0,0,67,0,1
2,0,0,0,75,0,0
4,0,0,0,82,0,1
4,0,0,0,78,0,1
2,0,0,0,44.5,0,0
3,0.03,0,0,71,0,0
2,0,0,0,84.5,0,0
3,0,0,0,48,0,1
2,0,0,0,75,0,1
1,0.19,0,0,74.5,0,1
1,0.04,2,0.8,18.5,0,1
1,0.8,0,0,51,1,1
4,0,0,0,80,0,1
2,0.36,1.2,0,37,0,1
3,0.27,0,0,72,0,1
3,0,0,0,66.5,0,0
1,0,0,0,42.5,0,1
3,0,0,0,84.5,0,1
1,0,0,0,47,0,1
1,0.64,0,0,79.5,0,0
3,0.05,0,0,46,0,0
3,0,0,0,61.5,0,1
1,0,0,0,44,0,0
3,0,0,0,77.5,0,1
2,0,0,0,80.5,0,1
2,0,0,0,83,0,1
2,0,0,0,52.5,0,1
2,0,0,0,57,0,1
3,0.19,0,0,80,0,1
1,0.61,0,0,51.5,0,1
1,0,0,0,57.5,0,1
2,0,0,0,55,0,0
3,0,0,0,72.5,0,1
3,0,0,0,11.5,0,1
3,0,0,0,80,0,0
1,0,0,0,67,0,0
3,0,0,0,70,0,1
2,0,0,0,68.5,0,1
2,0.35,0,0,44.5,0,0
2,0,0,0,54.5,0,0
3,0,0,0,57.5,0,0
2,0,0,0,80.5,0,1
2,0.02,5.9,0,27.5,0,1
3,0,0,0,80,0,1
2,0,0,0,66.5,0,1
2,0,0,0,59,0,1
2,0,0,0,57.5,1,1
4,0,0,0,78.5,0,1
3,0,0,0,61.5,0,1
4,0,0,0,50,0,0
2,0,0,0,78.5,0,1
3,0,0,0,72,0,0
3,0,0,0,31.5,0,1
2,0,0,0,61.5,0,1
2,0,0,0,82.5,0,1
3,0,0,0,36,0,0
4,0,0,0,76,0,0
1,0,0,0,65.5,0,0
3,0,0,0,76,0,1
3,0,0,0,53,0,0
2,0.32,0,0,78,0,0
3,0,0,0,77,0,0
1,0,0,0,70,0,1
4,0,0,0,54.5,0,0
1,0.39,0,0,81,0,1
3,0,0,0,61,0,0
2,0,0,0,66,0,0
2,0,0,0,76,0,1
3,0,0,0,77.5,0,1
3,0,0,0,31,0,0
4,0,0,0,63,0,1
1,0,0,0,69.5,0,1
1,1.21,0,0,54.5,0,1
