Date,NumberOfTrips,PRCP,SNWD,SNOW,Temp,Holiday,Weekday
5/1/2014,7927,0.12,0,0,64.5,FALSE,TRUE
5/2/2014,3869,0,0,0,63,FALSE,TRUE
5/3/2014,9447,0.08,0,0,62.5,FALSE,FALSE
5/4/2014,9715,0.02,0,0,59.5,FALSE,FALSE
5/5/2014,5212,0,0,0,60,FALSE,TRUE
5/6/2014,7783,0,0,0,61.5,FALSE,TRUE
5/7/2014,1431,0,0,0,59.5,FALSE,TRUE
5/8/2014,3179,0.41,0,0,56,FALSE,TRUE
5/9/2014,9370,0.04,0,0,59,FALSE,TRUE
5/10/2014,9414,0.37,0,0,70,FALSE,FALSE
5/11/2014,2178,0.03,0,0,71,FALSE,FALSE
5/12/2014,5502,0,0,0,74.5,FALSE,TRUE
5/13/2014,9578,0,0,0,63,FALSE,TRUE
5/14/2014,2018,0.01,0,0,61.5,FALSE,TRUE
5/15/2014,6184,0.15,0,0,64.5,FALSE,TRUE
5/16/2014,5708,1.54,0,0,63,FALSE,TRUE
5/17/2014,2285,0,0,0,61.5,FALSE,FALSE
5/18/2014,5279,0,0,0,59,FALSE,FALSE
5/19/2014,3400,0,0,0,60.5,FALSE,TRUE
5/20/2014,4224,0,0,0,65.5,FALSE,TRUE
5/21/2014,1659,0,0,0,68.5,FALSE,TRUE
5/22/2014,6264,0.24,0,0,63,FALSE,TRUE
5/23/2014,1265,0.91,0,0,63.5,FALSE,TRUE
5/24/2014,2308,0.4,0,0,63.5,FALSE,FALSE
5/25/2014,7617,0,0,0,67.5,FALSE,FALSE
5/26/2014,5678,0,0,0,76,TRUE,TRUE
5/27/2014,3910,0,0,0,75,FALSE,TRUE
5/28/2014,1045,0,0,0,59,FALSE,TRUE
5/29/2014,1364,0,0,0,58.5,FALSE,TRUE
5/30/2014,1073,0,0,0,65,FALSE,TRUE
5/31/2014,5003,0.05,0,0,65,FALSE,FALSE
6/1/2014,3181,0,0,0,66,FALSE,FALSE
6/2/2014,6093,0,0,0,69.5,FALSE,TRUE
6/3/2014,4455,0.12,0,0,76,FALSE,TRUE
6/4/2014,6841,0,0,0,72.5,FALSE,TRUE
6/5/2014,9249,0.87,0,0,68.5,FALSE,TRUE
6/6/2014,9127,0,0,0,68.5,FALSE,TRUE
6/7/2014,2871,0,0,0,71,FALSE,FALSE
6/8/2014,2619,0,0,0,76,FALSE,FALSE
6/9/2014,7572,1.6,0,0,68,FALSE,TRUE
6/10/2014,7749,0,0,0,71,FALSE,TRUE
6/11/2014,4946,0.02,0,0,65.5,FALSE,TRUE
6/12/2014,9048,0.07,0,0,66.5,FALSE,TRUE
6/13/2014,5363,1.28,0,0,72,FALSE,TRUE
6/14/2014,720,0,0,0,67,FALSE,FALSE
6/15/2014,542,0,0,0,69.5,FALSE,FALSE
6/16/2014,8702,0,0,0,72,FALSE,TRUE
6/17/2014,5834,0,0,0,80,FALSE,TRUE
6/18/2014,1519,0,0,0,82.5,FALSE,TRUE
6/19/2014,4193,0.15,0,0,72.5,FALSE,TRUE
6/20/2014,8279,0,0,0,71.5,FALSE,TRUE
6/21/2014,2180,0,0,0,70,FALSE,FALSE
6/22/2014,9000,0,0,0,71.5,FALSE,FALSE
6/23/2014,4195,0,0,0,73,FALSE,TRUE
6/24/2014,6428,0,0,0,74.5,FALSE,TRUE
6/25/2014,5878,0.08,0,0,77.5,FALSE,TRUE
6/26/2014,1612,0.07,0,0,77.5,FALSE,TRUE
6/27/2014,8125,0,0,0,75,FALSE,TRUE
6/28/2014,7983,0,0,0,76.5,FALSE,FALSE
6/29/2014,415,0,0,0,75.5,FALSE,FALSE
6/30/2014,5044,0,0,0,76.5,FALSE,TRUE
7/1/2014,1354,0,0,0,80.5,FALSE,TRUE
7/2/2014,4726,0.96,0,0,81.5,FALSE,TRUE
7/3/2014,6792,1.78,0,0,78,FALSE,TRUE
7/4/2014,7540,0.14,0,0,69.5,TRUE,TRUE
7/5/2014,9143,0,0,0,72,FALSE,FALSE
7/6/2014,1347,0,0,0,75,FALSE,FALSE
7/7/2014,3076,0.04,0,0,81,FALSE,TRUE
7/8/2014,929,0.39,0,0,81,FALSE,TRUE
7/9/2014,3618,0.09,0,0,79.5,FALSE,TRUE
7/10/2014,982,0,0,0,77.5,FALSE,TRUE
7/11/2014,3422,0,0,0,78.5,FALSE,TRUE
7/12/2014,5918,0,0,0,78,FALSE,FALSE
7/13/2014,621,0.03,0,0,77.5,FALSE,FALSE
7/14/2014,6295,0.46,0,0,78,FALSE,TRUE
7/15/2014,3773,1.3,0,0,79,FALSE,TRUE
7/16/2014,9552,0,0,0,74.5,FALSE,TRUE
7/17/2014,1256,0,0,0,74,FALSE,TRUE
7/18/2014,2771,0,0,0,72.5,FALSE,TRUE
7/19/2014,7260,0,0,0,72,FALSE,FALSE
7/20/2014,6946,0,0,0,73,FALSE,FALSE
7/21/2014,1590,0,0,0,76,FALSE,TRUE
7/22/2014,5257,0,0,0,78.5,FALSE,TRUE
7/23/2014,2125,0.19,0,0,80,FALSE,TRUE
7/24/2014,2226,0,0,0,75,FALSE,TRUE
7/25/2014,9475,0,0,0,74,FALSE,TRUE
7/26/2014,7909,0,0,0,75,FALSE,FALSE
7/27/2014,3332,0.02,0,0,78,FALSE,FALSE
7/28/2014,8438,0.19,0,0,75,FALSE,TRUE
7/29/2014,517,0,0,0,70,FALSE,TRUE
7/30/2014,1409,0,0,0,71.5,FALSE,TRUE
7/31/2014,7780,0,0,0,75,FALSE,TRUE
8/1/2014,7210,0,0,0,77.5,FALSE,TRUE
8/2/2014,6380,0.41,0,0,68.5,FALSE,FALSE
8/3/2014,4328,0.07,0,0,71,FALSE,FALSE
8/4/2014,6198,0,0,0,77,FALSE,TRUE
8/5/2014,6217,0,0,0,80.5,FALSE,TRUE
8/6/2014,1189,0,0,0,76.5,FALSE,TRUE
8/7/2014,8103,0,0,0,74.5,FALSE,TRUE
8/8/2014,6417,0,0,0,74,FALSE,TRUE
8/9/2014,6599,0,0,0,76.5,FALSE,FALSE
8/10/2014,9060,0,0,0,78,FALSE,FALSE
8/11/2014,2213,0,0,0,79,FALSE,TRUE
8/12/2014,616,0.19,0,0,74.5,FALSE,TRUE
8/13/2014,1924,0.53,0,0,75,FALSE,TRUE
8/14/2014,9918,0,0,0,70,FALSE,TRUE
8/15/2014,8945,0,0,0,67,FALSE,TRUE
8/16/2014,2441,0,0,0,70.5,FALSE,FALSE
8/17/2014,5586,0.01,0,0,74,FALSE,FALSE
8/18/2014,8420,0,0,0,72,FALSE,TRUE
8/19/2014,2471,0,0,0,73,FALSE,TRUE
8/20/2014,6208,0,0,0,77,FALSE,TRUE
8/21/2014,9890,0.35,0,0,74,FALSE,TRUE
8/22/2014,2315,0.06,0,0,72,FALSE,TRUE
8/23/2014,9146,0.01,0,0,72,FALSE,FALSE
8/24/2014,6432,0,0,0,72,FALSE,FALSE
8/25/2014,2425,0,0,0,76,FALSE,TRUE
8/26/2014,5564,0,0,0,79.5,FALSE,TRUE
8/27/2014,3299,0,0,0,80,FALSE,TRUE
8/28/2014,3606,0,0,0,74,FALSE,TRUE
8/29/2014,8799,0,0,0,70.5,FALSE,TRUE
8/30/2014,1831,0,0,0,72.5,FALSE,FALSE
8/31/2014,5041,0.62,0,0,81.5,FALSE,FALSE
5/1/2015,5227,0,0,0,56,FALSE,TRUE
5/2/2015,9525,0,0,0,61,FALSE,FALSE
5/3/2015,4407,0,0,0,65.5,FALSE,FALSE
5/4/2015,2539,0,0,0,71,FALSE,TRUE
5/5/2015,1418,0,0,0,75.5,FALSE,TRUE
5/6/2015,4073,0,0,0,66,FALSE,TRUE
5/7/2015,5191,0,0,0,68,FALSE,TRUE
5/8/2015,7183,0,0,0,69,FALSE,TRUE
5/9/2015,8299,0,0,0,63.5,FALSE,FALSE
5/10/2015,3645,0,0,0,72,FALSE,FALSE
5/11/2015,8925,0,0,0,77,FALSE,TRUE
