Date,NumberOfTrips,PRCP,SNWD,SNOW,Temp,Holiday,Weekday
1/1/2014,4673,0,0,0,28.5,TRUE,TRUE
1/2/2014,6237,0.33,0,3.1,25.5,FALSE,TRUE
1/3/2014,6926,0.29,5.9,3.3,13.5,FALSE,TRUE
1/4/2014,2193,0,5.9,0,18.5,FALSE,FALSE
1/5/2014,5027,0.14,3.9,0,33.5,FALSE,FALSE
1/6/2014,1076,0.36,1.2,0,37,FALSE,TRUE
1/7/2014,2116,0,0,0,11.5,FALSE,TRUE
1/8/2014,4490,0,0,0,15.5,FALSE,TRUE
1/9/2014,2214,0,0,0,27,FALSE,TRUE
1/10/2014,1739,0.11,0,0,33.5,FALSE,TRUE
1/11/2014,7184,0.5,0,0,47.5,FALSE,FALSE
1/12/2014,2316,0.05,0,0,46,FALSE,FALSE
1/13/2014,9274,0,0,0,44,FALSE,TRUE
1/14/2014,4757,0.38,0,0,48,FALSE,TRUE
1/15/2014,7591,0,0,0,43,FALSE,TRUE
1/16/2014,8931,0,0,0,39,FALSE,TRUE
1/17/2014,9192,0,0,0,38.5,FALSE,TRUE
1/18/2014,8735,0.07,0,0,35,FALSE,FALSE
1/19/2014,2775,0,0,0,31,FALSE,FALSE
1/20/2014,3554,0,0,0,38.5,TRUE,TRUE
1/21/2014,802,0.46,0,11,21,FALSE,TRUE
1/22/2014,1063,0.02,11,0.5,11,FALSE,TRUE
1/23/2014,6303,0,7.1,0,13.5,FALSE,TRUE
1/24/2014,735,0,5.9,0,15,FALSE,TRUE
1/25/2014,5724,0.04,3.9,1,23.5,FALSE,FALSE
1/26/2014,2963,0,3.9,0,25.5,FALSE,FALSE
1/27/2014,5739,0,3.1,0,32.5,FALSE,TRUE
1/28/2014,7005,0,1.2,0,16.5,FALSE,TRUE
1/29/2014,840,0.04,2,0.8,18.5,FALSE,TRUE
1/30/2014,2150,0,1,0,23,FALSE,TRUE
1/31/2014,7044,0,1.2,0,32,FALSE,TRUE
2/1/2014,2559,0,1.2,0,40.5,FALSE,FALSE
2/2/2014,7105,0,1.2,0,47.5,FALSE,FALSE
2/3/2014,833,1.17,1.2,8,35,FALSE,TRUE
2/4/2014,4524,0,7.9,0,28.5,FALSE,TRUE
2/5/2014,6738,1.43,9.1,4,31.5,FALSE,TRUE
2/6/2014,7990,0,9.1,0,26.5,FALSE,TRUE
2/7/2014,3555,0,9.1,0,28,FALSE,TRUE
2/8/2014,8979,0,9.1,0,25,FALSE,FALSE
